a_x,a_y,a_z,g_x,g_y,g_z,m_x,m_y,m_z,class_name
-152,-217,1125,610,-9521,2929,-15680,29172,-63026,walking
-226,-170,1030,-122,21301,-35766,-16409,31360,-58892,walking
-81,-190,1093,11901,-854,13122,-12397,33182,-62987,walking
81,-138,1028,-20202,-2258,63537,-17138,32088,-61503,walking
-17,-295,1033,-244,-52978,103088,-21514,8751,-63003,walking
-127,-65,1076,-18981,-12451,65917,-9116,-5105,-69753,walking
-10,-204,953,1525,-15624,62255,4740,-7293,-65636,walking
-73,-271,1139,8728,-1098,1953,11668,-5469,-70878,walking
-63,-16,1196,7263,-16357,55419,14950,-3281,-67870,walking
-98,-103,1308,5920,-3479,-24047,20055,2187,-67503,walking
9,-249,1150,-3906,-25756,35827,19326,-1093,-72003,walking
0,-16,1360,4943,15258,-36376,21149,-2917,-72369,walking
158,-232,907,-20141,1647,31799,24795,1458,-68986,walking
26,-53,968,-28991,29724,-51757,24431,-4375,-72003,walking
137,-67,912,-5676,-5859,31921,22243,2917,-68994,walking
26,-94,778,12695,-2624,-33813,20419,4011,-73494,walking
-34,-142,810,1342,793,5310,40111,16409,-78378,walking
3,-195,797,-3540,7751,-27709,19690,-8751,-70503,walking
-99,-163,937,5187,-5493,6713,14585,-1093,-71253,walking
48,-283,851,-1647,-3051,11413,5105,-1823,-64511,walking
-83,-261,919,-1708,6347,-21911,-3281,5834,-73128,walking
-113,-95,962,-16052,18188,-48522,4375,-8022,-83618,walking
-187,127,1151,15441,52734,-159423,-27348,13127,-73494,walking
25,-239,720,732,44860,-38085,-4740,45944,-76859,walking
-49,-72,856,-23315,48950,-54260,-9845,29171,-56620,walking
190,-228,1022,-12939,-20935,53405,-15679,32818,-63760,walking
90,-367,821,-11474,-22277,72875,9116,10209,-60745,walking
-206,-59,770,4882,-21240,61035,-8751,16408,-63729,walking
-24,-277,871,7873,-976,-12268,-16043,7292,-65979,walking
-209,-150,930,5432,-4272,-29113,-14950,5834,-68628,walking
-2,-217,841,-427,4150,-40161,-20419,13491,-65620,walking
10,135,1083,2685,49865,-154235,-16772,30264,-61847,walking
-104,-157,954,-1708,21240,-81298,10209,39745,-62612,walking
-51,-254,1065,11779,16357,-62316,18960,27711,-62222,walking
-30,-364,973,-17822,-854,22277,15679,15314,-63362,walking
34,-30,1296,25695,-14099,12634,4375,7292,-56245,walking
103,-304,935,1281,-28259,69824,-8022,32817,-47615,walking
73,-93,1375,20751,-21911,45593,-22242,41203,-64479,walking
111,-70,1328,25817,-43090,60913,-15678,29170,-70460,walking
-64,-25,871,-26367,25512,-6530,-18231,29899,-66720,walking
109,-103,974,549,-1037,37292,-16044,29900,-59238,walking
-52,-157,751,-5310,-10070,-15441,-17867,28806,-62987,walking
-153,-196,801,-3906,1831,4272,-18596,28077,-62612,walking
-70,-249,930,-3356,-8789,17150,-17867,30264,-62987,walking
-62,-245,1105,16113,183,-23376,-17502,25524,-63737,walking
-14,-219,1060,-4516,-8972,12634,-11303,28076,-65979,walking
-139,-28,1059,-25695,27465,-48706,-9115,30629,-61487,walking
105,37,1222,-14160,7934,-24108,-4375,35003,-62956,walking
-62,-16,938,-1403,9704,-95092,7657,37192,-60723,walking
68,-205,934,2441,-976,-21118,18596,32087,-66728,walking
9,-205,762,-3601,2258,11962,17502,29535,-60723,walking
34,-247,857,-4150,-122,19165,10938,32816,-65596,walking
206,-45,1074,-10314,-36499,128540,-5834,37193,-65987,walking
114,-231,1005,-2929,-31921,102722,-22606,17502,-66712,walking
-136,-73,969,13183,-6042,46997,-14949,-1093,-69702,walking
-96,-139,931,7934,-10742,3417,-11303,-6198,-70068,walking
14,-278,815,-732,-4821,7690,-16408,-364,-66704,walking
-104,-174,822,-732,-14587,26184,-7292,-7292,-70451,walking
-12,-220,791,-9338,-5310,34179,-6563,-6563,-73083,walking
-126,-186,749,-4211,-183,427,2916,-6198,-70817,walking
-16,-210,828,10253,-427,-9948,-1823,-6927,-67828,walking
-64,-136,937,732,14892,-38940,-729,-8751,-64846,walking
29,-281,941,-1708,-2441,6835,-13491,-1458,-68211,walking
62,-254,959,-488,3417,29479,-5104,-9480,-70077,walking
286,-19,993,-24963,-37475,150451,6927,-6198,-72682,walking
30,-376,908,-6469,854,43151,25887,13126,-66696,walking
58,-259,1035,-18432,-7385,44921,24794,18595,-67079,walking
-100,-128,1027,-5432,18127,-43762,27346,28804,-63698,walking
162,-192,1077,3051,-26428,244,29898,15678,-61810,walking
135,35,1547,5920,21545,-45776,30991,9844,-65556,walking
175,-16,903,-3967,17211,-2563,29169,2916,-68944,walking
142,109,1078,-3723,-15441,-41198,22241,-1823,-66305,walking
18,-139,727,-17395,7141,10925,23335,2552,-68561,walking
-17,-324,802,11962,-7873,-28503,19324,6563,-74190,walking
-145,-134,804,15747,-6042,13916,30991,19688,-68927,walking
-12,-57,807,-7934,10314,-62927,34636,3645,-67029,walking
20,-40,1040,-3479,18737,-108093,5833,20417,-66663,walking
-37,-172,1134,12756,9460,-26855,-1823,9479,-62543,walking
105,-245,1135,-7202,10681,-24719,-8385,3646,-68919,walking
-24,-181,1083,-6347,-793,10498,-16042,5469,-61810,walking
-68,-140,973,-5920,13610,-31982,-17136,4375,-70042,walking
-90,-72,1107,-13305,8239,-19226,-19324,11667,-66671,walking
24,386,1381,22094,-1281,-134277,-14584,27709,-63667,walking
105,-21,1079,16113,4821,-67993,5469,31721,-65189,walking
-34,-136,1010,2990,20690,-64025,18959,25157,-63300,walking
106,-271,1122,-3417,-854,10803,20782,11302,-64408,walking
50,-237,1230,5432,15686,7507,4375,1823,-51321,walking
-33,-65,980,3601,12451,86791,-12761,36096,-47569,walking
-95,-223,1039,8178,-9887,45104,-29897,35366,-63285,walking
15,-170,1014,-6286,-7995,40710,-15677,31355,-67021,walking
-89,-187,914,8789,-2868,61,-16406,27709,-63285,walking
-10,-203,899,-20996,-3479,10192,-13854,31355,-62910,walking
-60,-264,956,4394,6896,-7568,-14219,27344,-65524,walking
-72,-303,1153,-5065,366,3295,-12760,27344,-65906,walking
-185,-193,1141,24536,732,-12268,-10938,25887,-68544,walking
196,-145,1508,-27954,4577,22155,-11302,31355,-64408,walking
48,-178,872,21240,-14343,-41076,-10937,29897,-59166,walking
-153,5,1035,6408,31249,-21850,-12031,30626,-61787,walking
76,-93,1214,8972,-23559,-7995,-7656,34272,-59915,walking
120,24,874,-366,28015,-146728,15313,33544,-67054,walking
-14,-61,1166,6896,8483,-62255,26979,18229,-67388,walking
25,-146,958,5615,8361,-68481,21875,-1458,-65898,walking
33,-201,906,-2380,-732,-9643,12396,-11666,-71131,walking
-47,-133,954,-3112,4577,11108,20782,-10573,-68153,walking
5,-72,1106,732,2624,27893,16406,-10573,-68527,walking
-240,-96,1015,-7141,30822,-10009,16771,-5468,-66281,walking
-89,-157,1088,-7934,-7934,5187,13854,-8385,-69634,walking
-57,100,1305,-854,-4577,-36071,16771,-6198,-68145,walking
-73,65,1154,12878,-6286,32958,15677,-6562,-68136,walking
6,67,1082,-6835,15747,-25146,13125,-9479,-68902,walking
-3,-7,1070,-18615,4577,8300,15312,-6562,-72254,walking
-90,36,853,-15258,-4150,-19714,12760,-5104,-73387,walking
-172,-25,871,15563,-9826,6103,25885,1458,-77486,walking
53,-134,903,2990,-3112,-51574,28802,-5833,-61023,walking
19,-59,923,-3906,12817,-84228,8750,19323,-61023,walking
-57,-183,906,-5554,610,-31311,-7656,11302,-53168,walking
-23,-222,903,-1586,-122,-17639,-15312,4739,-65141,walking
2,-209,1083,-1586,-4089,-915,-15312,6198,-67021,walking
7,-215,995,-7873,9704,-21728,-15677,2552,-71506,walking
0,-61,1135,-10131,-3967,-4882,-22604,4375,-66639,walking
56,211,958,5737,13671,-158813,-22240,21511,-64400,walking
-94,-48,955,-2075,23498,-92346,5833,37187,-62505,walking
38,-266,1013,6286,7446,-86242,20052,28073,-67388,walking
0,-352,1029,-12207,1647,8728,20781,12031,-62887,walking
-64,-348,1038,4821,12145,-12756,-1458,8750,-65141,walking
353,-200,1394,35278,-49255,93872,1093,35729,-53148,walking
-27,-14,999,-28869,-7080,65979,-23697,36093,-65492,walking
159,-217,861,-9765,-6408,51818,-17134,27342,-64353,walking
-65,-31,905,-11474,-10009,-9582,-18593,28072,-62880,walking
-73,-168,865,244,-7019,5798,-21145,22603,-64369,walking
-82,-176,857,-6591,0,-427,-17864,27708,-64002,walking
-59,-234,975,-2258,4455,-7629,-16041,24792,-64392,walking
-59,-218,1089,-6408,-5798,9582,-17499,28801,-64743,walking
-112,-181,1123,6164,11657,-11352,-17499,26614,-62498,walking
18,-202,1079,7202,-5676,20446,-12760,28436,-62490,walking
-84,-95,1376,25268,-14770,-31616,-12395,25155,-66240,walking
26,-182,943,-13305,10986,7690,-13854,26614,-62880,walking
-49,16,1043,-6652,-9948,3173,-14947,23332,-65850,walking
-70,-77,948,-1098,11169,-3295,-18957,21145,-65484,walking
113,19,1025,-12145,-11413,-21667,-22602,26977,-61719,walking
-87,82,962,3417,19470,-102172,-21509,45206,-65094,walking
58,-32,876,-19775,14770,-120178,29894,25884,-68835,walking
5,-144,761,-9338,2868,-62438,27707,9478,-63979,walking
75,-280,1047,-11657,3356,-10375,14947,-2552,-69974,walking
-93,-170,1039,-6896,32104,-28808,13489,-4374,-69583,walking
48,-281,1066,-3417,16662,13305,9843,-4374,-68843,walking
-120,-232,1114,2685,24963,-32470,12030,-4010,-69600,walking
32,-312,1097,-16113,-14038,71166,8749,-4374,-70331,walking
-291,-135,1109,-1525,19714,-17639,23332,3645,-68103,walking
194,-336,1167,26611,-32592,41809,22603,2187,-67729,walking
-203,70,996,-9643,27648,-32653,20781,1458,-67737,walking
67,-130,929,-6347,1892,36254,23332,1458,-67712,walking
30,49,1077,-4577,-1098,-68298,21145,364,-67721,walking
59,-109,980,3051,-3417,51269,23697,3645,-74081,walking
101,-2,986,-11413,915,-44616,23697,2187,-75204,walking
-197,-69,696,-2929,1281,27709,39009,21145,-75952,walking
93,-115,962,9033,6958,-76843,24061,3645,-63971,walking
0,-106,1027,-3479,17456,-97229,3645,21509,-67346,walking
28,5,1064,5981,26306,-108215,12395,15676,-55741,walking
64,-425,891,-8422,13366,-55175,-22239,-4010,-53148,walking
-46,-183,1078,5981,4699,-18432,-35727,21509,-62841,walking
5,-152,1184,12756,-30273,63354,-24061,25519,-66216,walking
-104,-133,1302,25390,-427,-19653,-18957,25155,-65476,walking
41,-163,1111,-19348,1098,47546,-18228,27706,-65460,walking
55,-10,1176,-4211,1403,-48645,-19322,27707,-65094,walking
180,-91,946,-9948,10009,59020,-17863,26977,-63589,walking
0,-82,856,-19348,4333,-37536,-22238,26613,-63597,walking
-150,-154,636,-9399,-610,35034,-20051,26978,-62101,walking
12,-145,706,5310,3723,-49621,-16770,29894,-57993,walking
-95,-187,687,2502,-10620,2319,-16040,30258,-61719,walking
-64,-219,762,61,3662,-22277,-9478,33904,-65086,walking
-184,-148,815,3967,3967,-40954,-10208,37186,-60238,walking
76,-175,956,-12878,9399,-50964,3281,38644,-61360,walking
-206,239,1265,7141,45471,-174560,20415,31352,-62475,walking
92,-333,864,-14343,52368,-69396,19322,-729,-72202,walking
-130,-206,1050,-11108,26062,-48522,9114,-5833,-72567,walking
66,-239,1070,-15869,-7385,72204,7655,-4374,-67338,walking
7,51,1105,-1647,-10437,-12512,15311,-4374,-72567,walking
-26,-154,834,-8666,-976,42724,22238,1093,-70314,walking
14,-229,765,610,732,-13183,19686,0,-72184,walking
-127,-161,811,-12145,-4333,-5371,24061,6197,-68461,walking
-1,-217,948,-16235,-1953,9094,21144,1822,-71071,walking
-109,-280,1031,-976,31799,-39428,21509,2551,-71819,walking
-94,-344,801,-7263,-20690,50048,20051,6926,-74063,walking
-42,22,1498,33508,671,-45288,30623,17863,-79684,walking
-138,-80,963,-37902,25878,-26794,33904,3645,-65834,walking
-2,118,1048,21911,28198,-120483,3645,16770,-66598,walking
-41,7,904,-9460,17639,-8239,-6197,12030,-62101,walking
-15,-67,816,-11291,22338,-38391,-16769,8384,-61719,walking
244,-208,937,-14465,16601,54260,-13853,2916,-71071,walking
-1,-179,869,-56945,-24719,84777,-12030,-4739,-67688,walking
-129,-84,921,12756,-75378,143127,13124,8020,-71436,walking
-187,-138,905,9216,366,29052,24789,15311,-60575,walking
-72,-163,795,244,183,16906,13124,5832,-59842,walking
